Vehicle_ID,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,Electric Utility,Extra Column
94511,Kitsap,Silverdale,WA,98383,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,PUGET SOUND ENERGY INC,
94604,King,Renton,WA,98058,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,11,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),
94697,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21,PUGET SOUND ENERGY INC,
94790,King,Seattle,WA,98178,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,37,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),
94883,Snohomish,Snohomish,WA,98290,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,39,PUGET SOUND ENERGY INC,
94976,Kitsap,Bainbridge Island,WA,98110,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,PUGET SOUND ENERGY INC,
95069,Kitsap,Bainbridge Island,WA,98110,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,23,PUGET SOUND ENERGY INC,
95162,Snohomish,Bothell,WA,98021,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,PUGET SOUND ENERGY INC,
95255,King,Kirkland,WA,98034,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),
95348,King,Seattle,WA,98122,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),
95441,Whatcom,Bellingham,WA,98229,2024,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,40,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,
95534,King,Des Moines,WA,98198,2021,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,30,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),
95627,Pierce,Gig Harbor,WA,98329,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,45600,26,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,
95720,King,Mercer Island,WA,98040,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),
95813,Whatcom,Bellingham,WA,98229,2024,MERCEDES-BENZ,EQS-CLASS SUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,40,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,
